Wall time,Step,Value
1757123842.2013521,0,-566.35693359375
1757123992.3214424,1,-362.9908447265625
1757124175.8646264,2,-360.04486083984375
1757124397.4288323,3,-357.5838317871094
1757124621.070642,4,-358.9268798828125
1757124845.7887847,5,-356.4158020019531
1757125040.7237115,6,-353.2490234375
1757125193.1395228,7,-358.8387756347656
1757125347.6510365,8,-359.6351318359375
1757125559.4546018,9,-359.9300537109375
1757125788.5756803,10,-359.29052734375
1757126019.014657,11,-359.1905517578125
1757126249.822134,12,-357.2277526855469
1757126405.7086046,13,-357.75079345703125
1757126561.858186,14,-359.01220703125
1757126757.433015,15,-359.76458740234375
1757126995.0458496,16,-359.59326171875
1757127234.3558502,17,-358.98712158203125
1757127472.960632,18,-357.645263671875
1757127631.3626156,19,-358.3509521484375
1757127774.5471919,20,-358.9347839355469
