Wall time,Step,Value
1757367783.0779076,0,-25.335681915283203
1757368146.0348248,1,-7.979896545410156
1757368511.5475225,2,90.465087890625
1757368880.2834544,3,98.09977722167969
1757369252.630627,4,102.67024993896484
1757369625.7689993,5,-61.42824935913086
1757370003.4877322,6,102.36647033691406
1757370383.862148,7,103.71836853027344
1757370767.582866,8,95.43343353271484
1757371152.7927847,9,108.12702178955078
1757371542.6275895,10,103.28498077392578
1757371933.4698105,11,112.6338119506836
1757372328.0522854,12,97.8624267578125
1757372724.8851125,13,-31.787992477416992
1757373123.6724854,14,93.56193542480469
1757373527.5282507,15,107.7116928100586
1757373934.3037336,16,79.22438049316406
1757374344.9163158,17,100.40482330322266
1757374757.4964893,18,95.03316497802734
1757375172.731148,19,106.90608978271484
1757375590.22962,20,104.16513061523438
1757376010.6422079,21,109.9027099609375
1757376432.46267,22,110.0871810913086
1757376858.6773572,23,103.76439666748047
1757377288.38752,24,109.26366424560547
1757377719.6986,25,105.55368041992188
1757378154.797765,26,98.614501953125
1757378590.5714812,27,99.40953826904297
1757379032.4353535,28,100.44012451171875
1757379477.9476583,29,104.07829284667969
1757379925.3363168,30,100.41938781738281
1757380375.4971225,31,111.17719268798828
1757380828.9416494,32,99.62299346923828
1757381286.5025134,33,-12.604684829711914
1757381747.2188604,34,108.04112243652344
1757382209.5667741,35,108.89008331298828
1757382675.928104,36,101.04373168945312
1757383144.1362162,37,113.37572479248047
1757383615.4195783,38,104.58293151855469
1757384088.943663,39,116.6453628540039
1757384566.7013125,40,100.87431335449219
1757385046.7214322,41,115.24640655517578
1757385531.442923,42,113.2010498046875
1757386017.6378956,43,101.97090148925781
1757386507.0197546,44,4.367278099060059
1757386998.238465,45,105.27603912353516
1757387494.452593,46,109.64376831054688
1757387992.5929606,47,109.59650421142578
1757388495.0120885,48,98.837158203125
1757388998.8123164,49,62.8327522277832
1757389507.292543,50,-26.70917510986328
1757390018.0616236,51,121.51603698730469
1757390529.302738,52,106.58917236328125
1757391046.2787552,53,98.85130310058594
1757391561.6492343,54,103.08355712890625
1757392082.8073728,55,99.16526794433594
1757392608.019695,56,111.01068115234375
1757393137.9694905,57,133.2903594970703
1757393670.3434558,58,130.13819885253906
1757394202.5604157,59,97.37239074707031
1757394741.1637287,60,110.0246353149414
1757395280.826199,61,93.98583984375
1757395824.2095766,62,109.4531021118164
1757396370.5965989,63,124.781494140625
1757396919.139106,64,110.08230590820312
1757397471.8878841,65,110.64075469970703
1757398025.729202,66,121.23149108886719
1757398583.9476583,67,104.0668716430664
1757399144.2783997,68,63.02806091308594
1757399708.5775466,69,102.4056167602539
1757400274.4220212,70,58.04193878173828
1757400844.7792647,71,112.73062896728516
1757401418.7285547,72,94.00516510009766
1757401996.1932142,73,118.89094543457031
1757402575.7189918,74,116.0190658569336
1757403158.0272286,75,112.45166015625
1757403743.15607,76,132.13040161132812
1757404329.351115,77,131.08468627929688
1757404919.1100545,78,49.010005950927734
1757405512.4829197,79,78.32012939453125
1757406110.4404545,80,122.57655334472656
1757406710.2190263,81,120.18339538574219
1757407314.001559,82,133.45394897460938
1757407919.5464628,83,114.66107940673828
1757408528.0310416,84,108.83684539794922
1757409140.9850552,85,98.25555419921875
1757409757.1454659,86,116.88162231445312
1757410374.2200015,87,144.6991424560547
1757410992.8730226,88,41.90819549560547
1757411616.7282338,89,39.124847412109375
1757412243.9568062,90,110.18486785888672
1757412872.8534586,91,110.97749328613281
1757413506.335356,92,82.15867614746094
1757414141.7856784,93,80.85289001464844
1757414781.151408,94,102.15896606445312
1757415423.4974592,95,41.719215393066406
1757416068.8611097,96,111.32304382324219
1757416716.3889298,97,-5.5436201095581055
1757417365.455726,98,113.20842742919922
1757418018.2975783,99,114.93807220458984
1757418674.4607534,100,11.25286865234375
