Wall time,Step,Value
1757119720.9639559,0,-1062.922119140625
1757119939.4805558,1,-248.5789031982422
1757120111.414617,2,-234.62831115722656
1757120262.5918045,3,-229.99740600585938
1757120430.3219955,4,-215.75279235839844
1757120653.9320133,5,-241.15402221679688
1757120878.7900815,6,-240.32273864746094
1757121105.8920732,7,-257.4991455078125
1757121314.883172,8,-238.38223266601562
1757121469.4863684,9,-312.96588134765625
1757121624.317768,10,-350.434814453125
1757121847.4806952,11,-244.76010131835938
1757122078.756075,12,-244.81884765625
1757122312.082572,13,-296.7491760253906
1757122530.5913455,14,-302.81982421875
1757122687.0017326,15,-247.92526245117188
1757122843.472043,16,-308.4585876464844
1757123079.8538885,17,-263.43707275390625
1757123320.3550997,18,-293.8399353027344
1757123561.824435,19,-290.2723693847656
1757123766.5709066,20,-292.3313903808594
