Wall time,Step,Value
1757085623.9431555,0,-553.0923461914062
1757085842.8992972,1,-359.3537292480469
1757086064.4168632,2,-353.5523986816406
1757086287.0174427,3,-346.5137939453125
1757086502.9333704,4,-360.2238464355469
1757086726.9887688,5,-357.0143127441406
1757086952.0525148,6,-357.2392883300781
1757087178.8777878,7,-352.06365966796875
1757087395.703948,8,-358.42462158203125
1757087622.9289584,9,-358.43951416015625
1757087852.5024583,10,-361.2158508300781
1757088083.6893406,11,-358.5378112792969
1757088302.6675625,12,-359.4419250488281
1757088534.6721923,13,-361.76080322265625
1757088767.645535,14,-359.67266845703125
1757089002.3733745,15,-357.7845153808594
1757089221.6163664,16,-358.87225341796875
1757089458.3316157,17,-359.7854309082031
1757089697.2035794,18,-359.05072021484375
1757089937.711797,19,-360.1986083984375
1757090162.588269,20,-359.493408203125
