Wall time,Step,Value
1757107424.948225,0,-378.3196716308594
1757107602.9514513,1,-400.7469482421875
1757107823.0047874,2,-360.5754699707031
1757108044.863462,3,-357.31939697265625
1757108266.6890368,4,-357.222412109375
1757108470.2529435,5,-357.5369567871094
1757108622.552827,6,-351.17425537109375
1757108817.1480973,7,-351.73492431640625
1757109045.0782347,8,-358.6412353515625
1757109273.6429176,9,-360.018798828125
1757109503.5659356,10,-358.21258544921875
1757109680.2199514,11,-356.08135986328125
1757109847.7396932,12,-354.2552185058594
1757110079.080865,13,-358.83758544921875
1757110313.6418018,14,-358.5107116699219
1757110549.2479417,15,-358.257080078125
1757110748.1968014,16,-356.9888000488281
1757110906.397738,17,-359.66058349609375
1757111140.2284853,18,-358.1922607421875
1757111378.5458152,19,-359.26019287109375
1757111631.501716,20,-358.7264404296875
