Wall time,Step,Value
1757094645.1830044,0,-371.5106506347656
1757094840.7058055,1,-360.4378967285156
1757095027.0131757,2,-352.22930908203125
1757095247.4289746,3,-354.467529296875
1757095469.3126595,4,-354.13909912109375
1757095692.240516,5,-356.10040283203125
1757095885.6758583,6,-356.5840759277344
1757096078.142828,7,-361.561767578125
1757096304.5040696,8,-358.3463134765625
1757096532.438727,9,-360.05084228515625
1757096762.5891602,10,-359.4092102050781
1757096941.1770635,11,-357.87213134765625
1757097160.7912369,12,-358.19915771484375
1757097392.4904943,13,-358.635009765625
1757097625.5430017,14,-356.48211669921875
1757097845.3203785,15,-359.007080078125
1757098025.592265,16,-358.9145812988281
1757098263.7403474,17,-357.6907653808594
1757098502.4154332,18,-360.61016845703125
1757098742.653803,19,-358.7734375
1757098927.059956,20,-357.7663269042969
