Wall time,Step,Value
1757111634.8322563,0,-940.15625
1757111828.0694528,1,-378.22998046875
1757111978.2771633,2,-359.912109375
1757112157.4722893,3,-358.97698974609375
1757112380.1389072,4,-358.4849853515625
1757112604.5060616,5,-361.63677978515625
1757112830.1044376,6,-356.75689697265625
1757113028.2957454,7,-357.97576904296875
1757113181.2710958,8,-359.32391357421875
1757113370.0511384,9,-357.90087890625
1757113600.3257382,10,-358.63861083984375
1757113832.0117168,11,-357.9713134765625
1757114065.1914315,12,-359.80548095703125
1757114241.3640523,13,-356.26507568359375
1757114397.845646,14,-359.644287109375
1757114628.4478421,15,-358.8944396972656
1757114863.9409242,16,-358.005615234375
1757115100.895028,17,-359.3046569824219
1757115313.494629,18,-357.3875732421875
1757115472.0067482,19,-359.4783020019531
1757115686.3808057,20,-358.3963928222656
