Wall time,Step,Value
1757115582.3686924,0,-1101.3160400390625
1757115801.7199767,1,-255.32925415039062
1757116023.2144742,2,-180.15257263183594
1757116246.2766507,3,-240.9014129638672
1757116459.063005,4,-243.32440185546875
1757116611.5326421,5,-301.625
1757116765.0955842,6,-199.9492950439453
1757116986.0983474,7,-235.9869384765625
1757117214.4052696,8,-289.9834899902344
1757117443.9713323,9,-300.6861572265625
1757117666.7491713,10,-292.19000244140625
1757117823.351312,11,-303.7763366699219
1757117979.6783702,12,-306.3937072753906
1757118213.764206,13,-313.89031982421875
1757118448.6223285,14,-296.2640380859375
1757118685.0220485,15,-314.4504089355469
1757118890.6914926,16,-295.5970153808594
1757119047.793447,17,-291.44488525390625
1757119238.22248,18,-314.36962890625
1757119477.3119967,19,-310.906005859375
1757119717.6602793,20,-312.6075439453125
