Wall time,Step,Value
1757428960.0944438,0,-133.22903442382812
1757429005.4550405,1,-129.53717041015625
1757429054.0774028,2,-120.04723358154297
1757429102.4820457,3,-97.20280456542969
1757429151.2768886,4,-86.47589111328125
1757429200.107936,5,-66.32013702392578
1757429249.0975685,6,-82.42343139648438
1757429299.3859854,7,-80.32754516601562
1757429347.8479807,8,-56.499122619628906
1757429396.4176044,9,-82.95030212402344
