Wall time,Step,Value
1757469500.9692912,0,-18.798154830932617
1757469864.153602,1,13.82009506225586
1757470231.1967444,2,106.90203857421875
1757470597.794927,3,118.8128433227539
1757470969.8363771,4,103.93205261230469
1757471345.473966,5,101.8995590209961
1757471722.728656,6,102.50868225097656
1757472103.1026454,7,99.56450653076172
1757472487.8233876,8,102.34107208251953
1757472872.4457748,9,92.647705078125
1757473261.8977547,10,93.28500366210938
1757473653.289529,11,103.400634765625
1757474048.345584,12,102.49303436279297
1757474446.6312258,13,108.44976043701172
1757474848.930633,14,121.23541259765625
1757475252.0116591,15,101.08501434326172
1757475658.7873094,16,103.80828094482422
1757476068.1710331,17,104.31250762939453
1757476480.7428157,18,108.43064880371094
1757476897.7945302,19,102.5264892578125
1757477317.3887773,20,68.9725341796875
1757477738.9838681,21,100.7282485961914
1757478165.1291857,22,97.82345581054688
1757478591.892443,23,112.08050537109375
1757479023.7990391,24,101.7600326538086
1757479457.7028575,25,92.74634552001953
1757479895.4041922,26,104.24366760253906
1757480335.5218687,27,105.12067413330078
1757480780.693926,28,104.51388549804688
1757481226.851573,29,108.67876434326172
1757481676.951714,30,84.54365539550781
1757482130.2643778,31,100.75727081298828
1757482586.5458627,32,100.0353012084961
1757483043.9271703,33,105.83705139160156
1757483506.2109466,34,104.18118286132812
1757483971.1407702,35,108.8447265625
1757484439.0600283,36,114.2588119506836
1757484910.895058,37,102.36421966552734
1757485384.0737574,38,108.15872192382812
1757485860.2453716,39,115.04742431640625
1757486342.0178566,40,97.72406005859375
1757486826.1143267,41,106.4127197265625
1757487312.3873997,42,101.37527465820312
1757487802.758446,43,101.53827667236328
1757488295.0147126,44,113.05337524414062
1757488790.5775833,45,100.27485656738281
1757489290.5075366,46,109.54127502441406
1757489791.3872395,47,105.11119842529297
1757490296.7641263,48,93.1993408203125
1757490803.971931,49,97.98611450195312
1757491313.6360154,50,109.72356414794922
1757491828.104322,51,105.55876922607422
1757492345.0358324,52,106.4155502319336
1757492863.9119923,53,50.48527908325195
1757493385.873781,54,101.0784912109375
1757493910.7167685,55,104.61972045898438
1757494439.220958,56,113.2469711303711
1757494972.4598348,57,126.97613525390625
1757495506.9991515,58,102.71829986572266
1757496044.4497561,59,100.3450927734375
1757496586.3549337,60,103.63137817382812
1757497130.2900553,61,101.15701293945312
1757497676.0040088,62,110.02783203125
1757498227.7662807,63,112.50315856933594
1757498781.2474356,64,123.58275604248047
1757499338.1892586,65,102.18022918701172
1757499897.7636487,66,105.23663330078125
1757500461.5663753,67,-45.41042709350586
1757501026.9738116,68,107.7489242553711
1757501595.7076912,69,110.70701599121094
1757502167.289727,70,107.10855102539062
1757502741.6925435,71,116.68067169189453
1757503320.6034005,72,105.29212951660156
1757503902.0903258,73,110.03772735595703
1757504487.3321474,74,117.63847351074219
1757505075.2181675,75,106.49038696289062
1757505664.080683,76,108.47066497802734
1757506259.392589,77,105.83212280273438
1757506857.176195,78,101.51361083984375
1757507454.703432,79,106.33554077148438
1757508056.9611285,80,-50.153465270996094
1757508664.296729,81,142.5093536376953
1757509273.3223357,82,103.95372009277344
1757509884.6912403,83,98.98009490966797
1757510499.5262244,84,90.12040710449219
1757511116.2964509,85,138.89134216308594
1757511735.623645,86,97.32478332519531
1757512359.0071416,87,121.21918487548828
1757512985.7917366,88,90.18164825439453
1757513616.659582,89,112.82689666748047
1757514249.357985,90,101.58904266357422
1757514886.2636828,91,103.72064971923828
1757515525.7438054,92,111.09693145751953
1757516166.3987126,93,114.94436645507812
1757516811.2462656,94,82.07205963134766
1757517460.4694915,95,98.25967407226562
1757518112.9389374,96,56.755558013916016
1757518766.5692096,97,109.84667205810547
1757519422.9205396,98,11.637475967407227
1757520083.9262812,99,124.5212173461914
1757520746.3908699,100,-52.315399169921875
