Wall time,Step,Value
1757123769.840991,0,-653.8609008789062
1757123918.9573255,1,-220.01638793945312
1757124070.697219,2,-368.831787109375
1757124290.2921643,3,-217.8341827392578
1757124514.8933973,4,-273.4727478027344
1757124740.045163,5,-234.50302124023438
1757124966.6352425,6,-282.6000061035156
1757125122.7952223,7,-234.819091796875
1757125277.3755062,8,-228.01869201660156
1757125459.2260318,9,-263.3671569824219
1757125688.404747,10,-289.39227294921875
1757125918.8443308,11,-259.6416931152344
1757126149.8616629,12,-270.4133605957031
1757126340.730286,13,-289.599609375
1757126496.420406,14,-281.6226501464844
1757126663.2448754,15,-309.13116455078125
1757126901.135506,16,-299.0557861328125
1757127139.1166217,17,-288.63140869140625
1757127379.4183242,18,-289.019287109375
1757127574.9226859,19,-298.1737976074219
1757127733.711518,20,-272.0592041015625
