Wall time,Step,Value
1757111536.3281717,0,-369.28265380859375
1757111754.9898462,1,-1633.343017578125
1757111911.997436,2,-280.4906921386719
1757112063.5690286,3,-294.81451416015625
1757112283.28503,4,-236.88409423828125
1757112508.2096648,5,-188.92214965820312
1757112734.3289032,6,-285.87652587890625
1757112961.956568,7,-261.8886413574219
1757113116.1506407,8,-258.04248046875
1757113277.122775,9,-242.6188201904297
1757113506.9260495,10,-306.8568115234375
1757113738.809778,11,-297.0717468261719
1757113972.3195674,12,-272.66107177734375
1757114176.9291992,13,-279.7474670410156
1757114333.7227468,14,-303.31182861328125
1757114529.3238394,15,-298.87005615234375
1757114765.4847324,16,-318.52166748046875
1757115002.4804952,17,-297.8121643066406
1757115240.5809855,18,-297.7871398925781
1757115404.9639454,19,-318.0449523925781
1757115578.9950395,20,-298.781982421875
