Wall time,Step,Value
1757090094.0449927,0,-722.6724243164062
1757090308.9389534,1,-297.008056640625
1757090530.5414298,2,-210.75726318359375
1757090752.9216664,3,-224.395751953125
1757090976.7015915,4,-249.9221649169922
1757091167.2534952,5,-252.27520751953125
1757091392.425938,6,-269.20489501953125
1757091619.0235052,7,-263.63751220703125
1757091847.111403,8,-243.7140350341797
1757092040.4106855,9,-289.9015808105469
1757092260.9023046,10,-241.4404296875
1757092492.2192936,11,-298.5438232421875
1757092725.2882822,12,-292.4111022949219
1757092943.44582,13,-313.4331970214844
1757093143.5423489,14,-298.3722839355469
1757093378.198141,15,-295.3086853027344
1757093615.4452965,16,-278.75067138671875
1757093851.8382485,17,-316.6370849609375
1757094044.7176552,18,-282.4897155761719
1757094284.8903387,19,-284.4537658691406
1757094528.2268176,20,-283.5395202636719
