Wall time,Step,Value
1757098930.3256752,0,-775.3177490234375
1757099146.1991029,1,-354.3839111328125
1757099365.905412,2,-355.046875
1757099587.4863183,3,-358.60150146484375
1757099809.5720592,4,-353.3103942871094
1757099978.1808527,5,-361.0537109375
1757100177.9424286,6,-359.3290710449219
1757100404.7644334,7,-359.71533203125
1757100632.796617,8,-360.00201416015625
1757100861.9400318,9,-359.038330078125
1757101034.480662,10,-355.7319641113281
1757101237.5568962,11,-359.75469970703125
1757101469.682942,12,-355.097412109375
1757101704.4443338,13,-358.51513671875
1757101938.667725,14,-358.94793701171875
1757102095.8120446,15,-359.58642578125
1757102319.9646235,16,-358.4560241699219
1757102557.7947907,17,-357.8977355957031
1757102797.494794,18,-356.3724365234375
1757103013.162425,19,-358.9444580078125
1757103201.9686341,20,-359.3258056640625
