Wall time,Step,Value
1757119834.5841055,0,-578.737548828125
1757120037.9931045,1,-363.9507751464844
1757120188.8281915,2,-341.5352783203125
1757120339.7922916,3,-355.10064697265625
1757120541.236198,4,-359.818359375
1757120764.0704975,5,-350.3877868652344
1757120987.918977,6,-358.0079650878906
1757121214.180305,7,-355.33355712890625
1757121389.0572858,8,-356.1709899902344
1757121542.5266898,9,-356.077392578125
1757121726.4006808,10,-358.3574523925781
1757121956.3525,11,-360.74139404296875
1757122187.663911,12,-358.07928466796875
1757122420.350241,13,-359.1337890625
1757122605.7084563,14,-361.4775695800781
1757122761.8348296,15,-359.0477294921875
1757122950.3219755,16,-358.9825134277344
1757123188.9537036,17,-358.42889404296875
1757123428.5253093,18,-358.89239501953125
1757123669.2982657,19,-358.19140625
1757123838.933784,20,-358.45208740234375
