Wall time,Step,Value
1757085591.3134367,0,-449.1925354003906
1757085800.8399603,1,-580.1433715820312
1757086022.8096075,2,-198.66079711914062
1757086245.9382327,3,-286.6553955078125
1757086467.6137192,4,-242.41937255859375
1757086683.172666,5,-218.61216735839844
1757086908.672657,6,-236.3863067626953
1757087136.0354354,7,-265.46490478515625
1757087364.4663374,8,-239.488037109375
1757087575.8685837,9,-291.3841247558594
1757087806.2252953,10,-290.23095703125
1757088037.8470635,11,-316.1724853515625
1757088270.5644076,12,-246.07933044433594
1757088480.7105372,13,-241.14849853515625
1757088714.2642598,14,-292.5170593261719
1757088948.5098026,15,-353.22882080078125
1757089178.02076,16,-248.87393188476562
1757089392.0816364,17,-307.6302185058594
1757089630.2816973,18,-294.83880615234375
1757089871.1103063,19,-243.62889099121094
1757090090.8218005,20,-293.4307861328125
