Wall time,Step,Value
1757115689.7317479,0,-675.0555419921875
1757115910.1142728,1,-394.97705078125
1757116131.1773436,2,-360.337646484375
1757116353.2582595,3,-358.158935546875
1757116532.3241231,4,-359.185546875
1757116684.630325,5,-351.4018249511719
1757116869.2696533,6,-354.3973693847656
1757117095.859398,7,-359.10516357421875
1757117323.8725417,8,-356.81689453125
1757117552.7410343,9,-359.0087890625
1757117741.9324343,10,-359.91815185546875
1757117897.89327,11,-356.1429748535156
1757118084.9784422,12,-358.75592041015625
1757118318.5933716,13,-358.46612548828125
1757118553.018318,14,-357.2057800292969
1757118788.7210407,15,-356.8836364746094
1757118962.5622091,16,-357.44879150390625
1757119118.9546072,17,-359.4263916015625
1757119340.5043857,18,-357.3748779296875
1757119578.788742,19,-359.05560302734375
1757119831.3207433,20,-357.42431640625
