Wall time,Step,Value
1757103115.3610368,0,-305.1359558105469
1757103329.496339,1,-1149.74267578125
1757103549.4783204,2,-271.70782470703125
1757103771.6119874,3,-173.4927520751953
1757103993.9180362,4,-240.18667602539062
1757104163.7753367,5,-220.772705078125
1757104343.3180494,6,-275.47662353515625
1757104569.0767841,7,-239.5745849609375
1757104796.7795546,8,-266.1480407714844
1757105024.724128,9,-253.5951690673828
1757105220.5184417,10,-293.23809814453125
1757105380.0129457,11,-309.2806091308594
1757105611.0259597,12,-315.8773193359375
1757105843.5743668,13,-299.2035217285156
1757106077.1768346,14,-304.1029357910156
1757106284.906993,15,-279.5194091796875
1757106441.8960843,16,-288.7281494140625
1757106679.3806083,17,-280.94329833984375
1757106919.187024,18,-310.2554931640625
1757107159.2230036,19,-313.49658203125
1757107359.8676672,20,-285.98138427734375
