Wall time,Step,Value
1757090165.8963296,0,-493.8626708984375
1757090386.4005165,1,-360.1590576171875
1757090607.1578376,2,-359.22021484375
1757090829.123222,3,-359.933837890625
1757091038.0406313,4,-359.24176025390625
1757091238.6059556,5,-359.44683837890625
1757091464.2408242,6,-357.92071533203125
1757091691.416626,7,-358.47930908203125
1757091919.5250473,8,-354.8604736328125
1757092111.2253938,9,-359.6007385253906
1757092342.3090916,10,-358.9996643066406
1757092575.2139003,11,-358.59063720703125
1757092809.8929884,12,-360.4049987792969
1757093004.7370098,13,-360.7635803222656
1757093238.617058,14,-358.5423583984375
1757093473.8296745,15,-357.7765197753906
1757093709.7679954,16,-358.1251525878906
1757093918.520622,17,-358.8999328613281
1757094142.1754062,18,-359.1809387207031
1757094384.6067958,19,-358.6444091796875
1757094641.8457122,20,-357.07928466796875
