Wall time,Step,Value
1757098858.7027597,0,-250.29129028320312
1757099040.6915212,1,-366.2408447265625
1757099260.8192945,2,-252.92623901367188
1757099482.5009341,3,-208.07980346679688
1757099705.0656738,4,-221.84078979492188
1757099905.6305661,5,-221.51077270507812
1757100074.5178828,6,-216.8875732421875
1757100302.2645233,7,-211.32708740234375
1757100531.076663,8,-242.23257446289062
1757100760.9223258,9,-260.85693359375
1757100963.9915748,10,-312.35791015625
1757101138.1159801,11,-304.0109558105469
1757101371.1280565,12,-301.12451171875
1757101607.217444,13,-246.1119384765625
1757101843.0384436,14,-275.8941955566406
1757102037.824895,15,-282.3499755859375
1757102233.9018867,16,-289.0190734863281
1757102473.4579127,17,-344.24774169921875
1757102714.1409647,18,-285.70111083984375
1757102953.7901413,19,-294.39208984375
1757103112.0874,20,-278.7953796386719
