Wall time,Step,Value
1757107363.0933595,0,-634.6028442382812
1757107511.5164845,1,-270.19842529296875
1757107729.9432147,2,-228.08609008789062
1757107952.6476183,3,-209.25489807128906
1757108175.1152043,4,-244.14283752441406
1757108398.90829,5,-255.54966735839844
1757108562.5057516,6,-225.8393096923828
1757108730.8424635,7,-234.71697998046875
1757108959.8157449,8,-293.7313537597656
1757109189.6960194,9,-325.6024169921875
1757109421.348192,10,-355.253662109375
1757109623.6484375,11,-345.0484619140625
1757109780.473095,12,-241.8588104248047
1757109991.3304684,13,-315.99310302734375
1757110227.5338428,14,-311.4312744140625
1757110465.4596133,15,-288.15020751953125
1757110691.127412,16,-311.86322021484375
1757110850.0486443,17,-279.9342041015625
1757111050.2701807,18,-324.9053649902344
1757111290.6929824,19,-290.2498779296875
1757111532.993156,20,-303.17974853515625
